slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
amberieu-en-bugey_1004,1004,Amberieu En Bugey,1500,6.11,6.27,6.73,4.58,6.15,7.42,5.46,6.31,6.54,6.04
bage-dommartin_1025,1025,Bage La Ville,1380,,,,,,,,,,
bellignat_1031,1031,Bellignat,1810,3.0,4.0,4.0,2.0,0.0,3.0,4.0,4.0,3.0,3.0
valserhone_1033,1033,Valserhone,1200,5.04,5.19,4.78,4.05,3.27,5.84,4.84,5.43,4.86,5.3
belley_1034,1034,Belley,1300,6.24,6.69,4.69,6.08,5.85,6.38,5.46,7.15,5.85,6.46
beynost_1043,1043,Beynost,1700,7.27,7.83,5.83,6.67,6.5,6.33,5.67,8.17,8.0,7.67
bourg-en-bresse_1053,1053,Bourg En Bresse,1000,5.27,5.73,4.95,4.37,4.78,6.4,5.34,5.73,5.6,5.17
cessy_1071,1071,Cessy,1170,6.3,6.0,6.75,7.25,3.5,7.5,5.5,7.75,6.5,6.25
chatillon-sur-chalaronne_1093,1093,Chatillon Sur Chalaronne,1400,9.33,9.0,8.0,9.67,9.0,9.33,10.0,8.33,8.67,9.67
dagneux_1142,1142,Dagneux,1120,7.14,7.25,5.75,7.0,8.25,7.25,5.25,8.5,9.0,7.0
divonne-les-bains_1143,1143,Divonne Les Bains,1220,6.63,8.16,3.95,7.63,3.21,7.47,5.89,6.21,5.89,7.21
ferney-voltaire_1160,1160,Ferney Voltaire,1210,4.9,6.0,6.14,6.14,2.93,5.21,4.29,6.0,4.43,4.64
gex_1173,1173,Gex,1170,5.59,7.3,4.57,7.13,3.74,5.35,4.52,5.57,4.3,5.87
plateau-d-hauteville_1185,1185,Plateau D'Hauteville,1110,7.69,10.0,2.5,9.0,8.5,9.0,4.5,4.5,3.0,9.0
jassans-riottier_1194,1194,Jassans Riottier,1480,5.78,5.4,5.6,4.8,5.8,5.4,5.0,6.4,6.0,6.0
lagnieu_1202,1202,Lagnieu,1150,6.85,9.0,6.75,7.0,6.75,6.75,4.75,7.25,5.25,7.0
meximieux_1244,1244,Meximieux,1800,6.2,7.42,4.83,5.42,3.25,6.75,5.83,6.25,8.08,6.42
miribel_1249,1249,Miribel,1700,6.16,6.08,5.5,6.08,7.25,6.67,5.5,6.25,6.58,6.08
